Panchayat,FloodRisk,FloodRiskLevel,ScarcityRisk,ScarcityRiskLevel
Vettikkavala,4.5,Low,44.65092181402234,Medium
Kareepra,0.0,Low,54.20644134566468,High
Elampalloor,6.0,Low,46.2187846456847,Medium
Edamulakkal*,0.0,Low,53.64107488314953,High
Thekkumbhagam,0.0,Low,53.53794436258358,High
Mayyanad,14.499999999999998,Low,82.69451218540301,Critical
Kulathupuzha*,0.0,Low,48.068934033325725,Medium
Karavaloor*,0.0,Low,52.36584014857777,High
Pattazhi Vadakkekkara*,0.0,Low,52.99748242261384,High
Elamadu,0.0,Low,54.14960445942789,High
Alappad,0.0,Low,52.59269028986781,High
Chadayamangalam,0.0,Low,52.99131654693661,High
Thrikkovilvattom,0.0,Low,54.495020492208994,High
Piravanthoor,0.0,Low,50.49415915123951,High
Aryankavu*,0.0,Low,47.990290936343,Medium
Thodiyoor,0.0,Low,52.635187667064045,High
Paravoor(M)*,0.0,Low,53.88080040163523,High
Perayam,0.0,Low,54.061272379059936,High
Veliyam,0.0,Low,54.203393809753614,High
Chithara,0.0,Low,49.14106198758715,Medium
Chirakkara,0.0,Low,53.745735148751635,High
Poothakulam,0.0,Low,53.90868446010026,High
Ezhukone,0.0,Low,53.9836422692112,High
East Kallada,0.0,Low,54.00682228787968,High
Perinadu,0.0,Low,54.19667155118275,High
Muntrothuruthu,0.0,Low,53.226021917365806,High
Thalavoor,0.0,Low,53.41980419212826,High
Alayamon,0.0,Low,51.18024842594511,High
West Kallada,0.0,Low,53.51322090360192,High
Thevalakkara,0.0,Low,53.18844444444445,High
Poruvazhy,0.0,Low,53.31968015027198,High
Pathanapuram,0.0,Low,51.825134290309855,High
Kottarakkara*,0.0,Low,53.74179830683138,High
Kalluvathukkal,0.0,Low,53.626242259537605,High
Karunagappally(M),0.0,Low,52.91081481481481,High
Sooranadu North*,0.0,Low,52.89799667688816,High
Nilamel,0.0,Low,52.13144197639469,High
Adichanalloor,0.0,Low,54.12928192632937,High
Sasthamkotta,0.0,Low,53.52019984957559,High
Panmana,0.0,Low,53.18044444444444,High
Chavara,0.0,Low,53.34128083048877,High
Pattazhi,0.0,Low,53.336811488346015,High
Melila,0.0,Low,53.71072956893852,High
Kulasekharapuram*,0.0,Low,52.37570370370371,High
Pooyappalli,0.0,Low,54.28740310858555,High
Clappana,0.0,Low,52.239703703703704,High
Kundara,0.0,Low,54.067484902633396,High
Thazhava,0.0,Low,52.26495632305511,High
Vilakudi,0.0,Low,52.82070093835059,High
Nedumpana,0.0,Low,54.433473763841974,High
Punaloor(M),0.0,Low,52.08333672696471,High
Chathanoor,0.0,Low,53.68545199540992,High
Kadakkal,0.0,Low,50.03294045547567,High
Yeroor,0.0,Low,52.151548222110016,High
Kottankara,0.0,Low,54.421152867820666,High
Mylam,0.0,Low,53.565698334224706,High
Ochira,0.0,Low,52.65589864531344,High
Mynagappally,7.59999999999998,Low,68.16952998859408,High
Ittiva,0.0,Low,51.44971316132251,High
Ummannoor,0.0,Low,54.10860802754986,High
Kunnathur,0.0,Low,53.517433897288065,High
Neendakara,0.0,Low,53.55167459153594,High
Kulakkada,0.0,Low,53.47908323658705,High
Kollam(C)*,0.0,Low,53.61322382599294,High
Thrikkaruva,0.0,Low,53.520888888888884,High
Sooranadu South,0.0,Low,52.86581137309293,High
Thenmala*,0.0,Low,51.47749965359003,High
Pavithreswaram,0.0,Low,53.823456516351214,High
Neduvathoor,0.0,Low,53.747537861494116,High
Anchal,0.0,Low,52.46163370369163,High
Velinalloor,0.0,Low,53.953686724380574,High
Kummil,0.0,Low,50.1117349004673,High
Panayam,0.0,Low,53.72930699851582,High
