Panchayat,R_score,G_score,L_score,SWF,FloodRisk,FloodRiskLevel,ScarcityRisk,ScarcityRiskLevel
Vettikkavala,20.037007132283673,46.33333333333336,35.0,1.0,22.01480285291347,Low,33.54813618624681,Moderate
Kareepra,2.1073296721931642,68.66666666666667,31.350000000000005,1.0,27.116265202210602,Low,34.57959853554394,Moderate
Elampalloor,1.9108114100875193,96.0,40.0,1.0,35.96432456403501,Moderate,47.16432456403501,Moderate
Edamulakkal*,27.59295084513606,57.66666666666668,48.6,1.0,42.01051367138776,Moderate,43.823847004721095,Moderate
Thekkumbhagam,25.660296328108224,13.666666666666671,40.6,0.7,47.23745186457663,Moderate,16.69554963853697,Low
Mayyanad,38.84027478920608,26.999999999999986,39.199999999999996,1.0,36.61610991568243,Moderate,34.17610991568243,Moderate
Kulathupuzha*,34.026477973065504,18.333333333333357,37.050000000000004,1.0,28.430591189226206,Low,28.353924522559545,Low
Karavaloor*,36.35837867778828,89.66666666666669,46.3,1.0,33.06335147111531,Moderate,59.67001813778199,Moderate
Pattazhi Vadakkekkara*,25.631024901840576,36.99999999999999,53.85,1.0,31.792409960736233,Moderate,35.82240996073623,Moderate
Elamadu,10.385526886745224,82.0,39.0,1.0,19.754210754698093,Low,44.75421075469809,Moderate
Alappad,25.06301474251883,9.333333333333343,30.95,0.6,46.405205897007534,Moderate,11.969123538204522,Low
Chadayamangalam,12.010900676454707,78.99999999999997,38.2,1.0,20.084360270581882,Low,44.044360270581876,Moderate
Thrikkovilvattom,42.920783257766246,91.00000000000001,46.15,1.0,53.8283133031065,Moderate,62.79831330310651,High
Piravanthoor,28.29201649791182,28.66666666666668,42.0,1.0,33.85013993249807,Moderate,31.183473265831402,Moderate
Aryankavu*,38.725517611659825,85.33333333333331,47.4,1.0,51.5168737113306,Moderate,59.10354037799726,Moderate
Thodiyoor,34.10290774732882,62.999999999999986,44.2,1.0,31.32116309893153,Moderate,47.68116309893153,Moderate
Paravoor(M)*,11.701610525393065,28.33333333333334,32.35,1.0,23.287310876823895,Low,22.48397754349056,Low
Perayam,0.13595748713959352,87.33333333333334,47.35,1.0,36.46104966152251,Moderate,44.45771632818917,Moderate
Veliyam,8.368440960492512,77.66666666666664,54.4,1.0,25.107376384197007,Low,45.294043050863664,Moderate
Chithara,7.059119717153579,11.999999999999982,50.45,1.0,23.003647886861437,Low,17.713647886861427,Low
Chirakkara,8.181339880743593,94.66666666666667,50.9,1.0,42.56586928563077,Moderate,51.319202618964106,Moderate
Poothakulam,0.9125178319532664,1.6666666666666607,58.0,1.0,23.56500713278131,Low,12.631673799447972,Low
Ezhukone,17.16909510702966,54.3333333333333,44.65,1.0,35.59430470947852,Moderate,37.53097137614518,Moderate
East Kallada,37.10254955289882,61.66666666666666,39.9,0.9,36.80101982115953,Moderate,42.73891783904358,Moderate
Perinadu,14.293751308352535,78.33333333333336,39.95,1.0,21.697500523341017,Low,45.04083385667436,Moderate
Munroethuruthu,21.687622486953067,78.00000000000001,43.8,0.19999999999999996,89.79504899478123,High,9.727009798956244,Low
Thalavoor,15.441224784808464,98.66666666666663,48.25,1.0,45.209823247256715,Moderate,55.293156580590036,Moderate
Alayamon,32.2314198470532,32.666666666666664,56.9,1.0,42.18590127215462,Moderate,37.33923460548795,Moderate
West Kallada,8.49677285030189,27.333333333333343,42.95,0.9,32.045375806787426,Moderate,20.629838226108685,Low
Thevalakkara,29.857777777777773,39.66666666666668,53.4,0.7,59.236444444444444,Moderate,26.942844444444447,Low
Poruvazhy,1.2346564746089999,89.66666666666666,33.75,1.0,31.92719592317693,Moderate,43.11052925651027,Moderate
Pathanapuram,30.83517950896785,1.999999999999987,59.349999999999994,1.0,36.47407180358714,Moderate,25.004071803587138,Low
Kottarakkara*,3.771148302265812,52.33333333333334,52.6,1.0,33.015125987573,Moderate,32.961792654239666,Moderate
Kalluvathukkal,0.5841708042111246,7.333333333333354,32.55,1.0,13.253668321684449,Low,9.677001655017792,Low
Karunagappally(M),24.33777777777778,92.0,43.6,0.8,57.57511111111111,Moderate,44.2040888888889,Moderate
Sooranadu North*,48.672781552676724,54.66666666666665,55.8,1.0,52.72244595440402,Moderate,52.49577928773735,Moderate
Nilamel,5.275456344842761,87.33333333333334,44.4,1.0,19.870182537937104,Low,45.923515871270446,Moderate
Adichanalloor,40.92231618174,75.66666666666664,39.0,1.0,31.968926472696,Moderate,54.43559313936265,Moderate
Sasthamkotta,15.377538411947981,5.666666666666664,51.55,0.5,56.771015364779196,Moderate,9.36384101572293,Low
Panmana,21.777037037037047,26.666666666666632,47.25,0.7,45.61081481481482,Moderate,20.179237037037034,Low
Chavara,8.076088646679459,77.33333333333334,47.25,0.7,40.13043545867178,Moderate,30.529638154403585,Moderate
Pattazhi,43.26911789641185,79.66666666666666,58.9,1.0,40.86764715856474,Moderate,60.95431382523141,High
Melila,41.882371359983296,98.99999999999999,40.05,1.0,52.57294854399332,Moderate,64.36294854399331,High
Kulasekharapuram*,5.351851851851852,54.999999999999986,55.35,1.0,35.28074074074074,Moderate,35.21074074074074,Moderate
Pooyappalli,23.967946909550097,29.666666666666625,47.95,1.0,28.76717876382004,Low,31.04384543048669,Moderate
Clappana,4.5355555555555505,26.66666666666668,48.5,1.0,26.547555555555558,Low,22.180888888888894,Low
Kundara,27.841109183633556,78.33333333333331,41.550000000000004,1.0,27.756443673453425,Low,50.77977700678675,Moderate
Thazhava,9.788925378178423,1.6666666666666607,36.7,1.0,18.928903484604703,Low,11.922236817938035,Low
Vilakkudy,27.537911858139587,29.000000000000004,31.5,1.0,23.61516474325584,Low,28.91516474325584,Low
Nedumpana,26.314416517758154,25.666666666666654,29.35,1.0,27.3990999404366,Low,26.662433273769924,Low
Punalur(M),15.745363620814626,92.66666666666671,56.15,1.0,28.758145448325852,Low,54.594812114992536,Moderate
Chathanoor,19.192273364783883,36.666666666666686,40.0,1.0,31.010242679246893,Moderate,30.34357601258023,Moderate
Kadakkal,24.892478413605158,13.999999999999968,37.6,1.0,24.996991365442064,Low,23.07699136544205,Low
Yeroor,29.20446956493411,3.6666666666666625,46.5,1.0,30.281787825973645,Moderate,22.44845449264031,Low
Kottamkara,5.761077992721196,28.33333333333332,36.199999999999996,1.0,22.45109786375514,Low,20.877764530421807,Low
Mylam,14.80935547410025,82.66666666666667,46.35,1.0,24.463742189640104,Low,48.260408856306775,Moderate
Ochira,13.863598968902533,40.33333333333333,41.89999999999999,1.0,22.30543958756101,Low,30.058772920894345,Moderate
Mynagappally,22.960642284732398,81.33333333333333,57.85,1.0,48.590923580559625,Moderate,53.28759024722629,Moderate
Ittiva,12.752080850631412,42.66666666666667,58.15,1.0,36.8941656735859,Moderate,33.79749900691924,Moderate
Ummannoor,47.01217046477349,27.999999999999996,40.15,1.0,40.464868185909395,Moderate,38.034868185909396,Moderate
Kunnathur,11.59977041781349,24.66666666666667,50.15,1.0,24.6999081671254,Low,24.536574833792066,Low
Neendakara,7.491593713430802,27.666666666666668,38.95,0.4,54.57663748537232,Moderate,8.741321660815597,Low
Kulakkada,8.696077536165724,59.00000000000002,44.150000000000006,1.0,21.138431014466292,Low,35.9084310144663,Moderate
Kollam(C)*,43.7232002014382,92.33333333333333,46.9,0.8,48.24928008057528,Moderate,51.04209073112689,Moderate
Thrikkaruva,17.283703703703697,68.66666666666667,41.4,1.0,37.20681481481481,Moderate,42.66014814814815,Moderate
Sooranadu South,7.167417938048998,44.000000000000014,47.7,1.0,30.746967175219602,Moderate,30.006967175219607,Moderate
Thenmala*,5.651780547246256,16.000000000000014,45.7,1.0,23.740712218898505,Low,17.80071221889851,Low
Pavithreswaram,10.627959457872972,76.66666666666666,49.800000000000004,1.0,39.50451711648252,Moderate,44.87785044981585,Moderate
Neduvathoor,18.437014909797675,5.3333333333333375,40.400000000000006,1.0,24.60147263058574,Low,17.588139297252408,Low
Anchal,12.122446319768002,13.000000000000004,42.15,1.0,24.3089785279072,Low,18.478978527907202,Low
Velinalloor,0.8074260451760585,25.333333333333325,48.1,1.0,24.62963708473709,Low,20.076303751403756,Low
Kummil,18.51888330761569,67.33333333333334,36.599999999999994,1.0,35.51421998971294,Moderate,41.66088665637961,Moderate
Panayam,47.87932412375842,88.00000000000003,49.9,1.0,39.111729649503374,Moderate,64.33172964950339,High
Perumon,14.293751308352535,78.33333333333336,39.95,0.30000000000000004,63.69750052334102,High,13.51225015700231,Low
